Distence,Pressure,
1.81,-17.79,17.79
1.81,-17.81,17.81
1.82,-17.83,17.83
1.83,-17.82,17.82
1.83,-17.84,17.84
1.84,-17.86,17.86
1.85,-17.84,17.84
1.86,-17.87,17.87
1.87,-17.88,17.88
1.87,-17.87,17.87
1.88,-17.89,17.89
1.89,-17.9,17.9
1.89,-17.89,17.89
1.9,-17.91,17.91
1.91,-17.93,17.93
1.92,-17.92,17.92
1.92,-17.94,17.94
1.93,-17.95,17.95
1.94,-17.95,17.95
1.94,-17.96,17.96
1.95,-17.97,17.97
1.96,-17.96,17.96
1.97,-17.98,17.98
1.98,-18,18
1.98,-18,18
1.99,-18.01,18.01
2,-18.03,18.03
2,-18.01,18.01
2.01,-18.03,18.03
2.02,-18.05,18.05
2.03,-18.04,18.04
2.03,-18.05,18.05
2.04,-18.06,18.06
2.05,-18.05,18.05
2.05,-18.08,18.08
2.06,-18.09,18.09
2.07,-18.08,18.08
2.08,-18.1,18.1
2.08,-18.11,18.11
2.09,-18.1,18.1
2.1,-18.12,18.12
2.11,-18.13,18.13
2.11,-18.12,18.12
2.12,-18.14,18.14
2.13,-18.15,18.15
2.13,-18.14,18.14
2.14,-18.16,18.16
2.15,-18.17,18.17
2.16,-18.16,18.16
2.16,-18.18,18.18
2.17,-18.19,18.19
2.18,-18.18,18.18
2.18,-18.2,18.2
2.19,-18.21,18.21
2.2,-18.2,18.2
2.21,-18.22,18.22
2.22,-18.23,18.23
2.22,-18.22,18.22
2.23,-18.25,18.25
2.24,-18.25,18.25
2.24,-18.24,18.24
2.25,-18.27,18.27
2.26,-18.28,18.28
2.27,-18.27,18.27
2.27,-18.28,18.28
2.28,-18.28,18.28
2.29,-18.28,18.28
2.29,-18.31,18.31
2.3,-18.3,18.3
2.31,-18.3,18.3
2.32,-18.32,18.32
2.33,-18.32,18.32
2.33,-18.32,18.32
2.34,-18.35,18.35
2.35,-18.34,18.34
2.35,-18.33,18.33
2.36,-18.36,18.36
2.37,-18.35,18.35
2.38,-18.35,18.35
2.38,-18.38,18.38
2.39,-18.37,18.37
2.4,-18.37,18.37
2.4,-18.39,18.39
2.41,-18.39,18.39
2.42,-18.39,18.39
2.43,-18.42,18.42
2.43,-18.41,18.41
2.44,-18.4,18.4
2.45,-18.43,18.43
2.46,-18.42,18.42
2.46,-18.42,18.42
2.47,-18.45,18.45
2.48,-18.44,18.44
2.48,-18.44,18.44
2.49,-18.46,18.46
2.5,-18.46,18.46
2.51,-18.46,18.46
2.51,-18.48,18.48
2.52,-18.47,18.47
2.53,-18.47,18.47
2.53,-18.5,18.5
2.54,-18.49,18.49
2.55,-18.49,18.49
2.56,-18.53,18.53
2.57,-18.52,18.52
2.57,-18.51,18.51
2.58,-18.54,18.54
2.59,-18.53,18.53
2.59,-18.53,18.53
2.6,-18.56,18.56
2.61,-18.55,18.55
2.62,-18.54,18.54
2.62,-18.57,18.57
2.63,-18.56,18.56
2.64,-18.56,18.56
2.64,-18.59,18.59
2.65,-18.58,18.58
2.66,-18.57,18.57
2.67,-18.6,18.6
2.68,-18.59,18.59
2.68,-18.59,18.59
