Distence,Pressure,
7.96,-20.41,20.41
7.97,-20.42,20.42
7.98,-20.4,20.4
7.98,-20.42,20.42
7.99,-20.43,20.43
8,-20.41,20.41
8.01,-20.42,20.42
8.02,-20.42,20.42
8.02,-20.4,20.4
8.03,-20.42,20.42
8.04,-20.42,20.42
8.04,-20.4,20.4
8.05,-20.41,20.41
8.06,-20.42,20.42
8.07,-20.41,20.41
8.07,-20.42,20.42
8.08,-20.43,20.43
8.09,-20.4,20.4
8.09,-20.42,20.42
8.1,-20.43,20.43
8.11,-20.4,20.4
8.12,-20.41,20.41
8.13,-20.42,20.42
8.13,-20.39,20.39
8.14,-20.41,20.41
8.15,-20.41,20.41
8.15,-20.39,20.39
8.16,-20.41,20.41
8.17,-20.41,20.41
8.18,-20.39,20.39
8.18,-20.42,20.42
8.19,-20.41,20.41
8.2,-20.39,20.39
8.2,-20.41,20.41
8.21,-20.41,20.41
8.22,-20.39,20.39
8.23,-20.42,20.42
8.23,-20.42,20.42
8.24,-20.4,20.4
8.25,-20.42,20.42
8.26,-20.41,20.41
8.26,-20.39,20.39
8.27,-20.42,20.42
8.28,-20.41,20.41
8.28,-20.39,20.39
8.29,-20.42,20.42
8.3,-20.41,20.41
8.31,-20.39,20.39
8.31,-20.42,20.42
8.32,-20.42,20.42
8.33,-20.4,20.4
8.33,-20.42,20.42
8.34,-20.41,20.41
8.35,-20.4,20.4
8.36,-20.43,20.43
8.37,-20.42,20.42
8.37,-20.4,20.4
8.38,-20.42,20.42
8.39,-20.41,20.41
8.39,-20.39,20.39
8.4,-20.42,20.42
8.41,-20.41,20.41
8.42,-20.39,20.39
8.42,-20.42,20.42
8.43,-20.41,20.41
8.44,-20.39,20.39
8.44,-20.42,20.42
8.45,-20.42,20.42
8.46,-20.39,20.39
8.47,-20.42,20.42
8.48,-20.41,20.41
8.48,-20.39,20.39
8.49,-20.41,20.41
8.5,-20.41,20.41
8.5,-20.39,20.39
8.51,-20.41,20.41
8.52,-20.4,20.4
8.53,-20.39,20.39
8.53,-20.42,20.42
8.54,-20.41,20.41
8.55,-20.39,20.39
8.55,-20.41,20.41
8.56,-20.4,20.4
8.57,-20.38,20.38
8.58,-20.41,20.41
8.58,-20.4,20.4
8.59,-20.38,20.38
8.6,-20.41,20.41
8.61,-20.4,20.4
8.61,-20.38,20.38
8.62,-20.41,20.41
8.63,-20.4,20.4
8.63,-20.38,20.38
8.64,-20.4,20.4
8.65,-20.39,20.39
8.66,-20.37,20.37
8.66,-20.4,20.4
8.67,-20.39,20.39
8.68,-20.37,20.37
8.68,-20.39,20.39
8.69,-20.38,20.38
8.7,-20.36,20.36
8.71,-20.39,20.39
8.72,-20.38,20.38
8.72,-20.35,20.35
8.73,-20.38,20.38
8.74,-20.36,20.36
8.74,-20.34,20.34
8.75,-20.36,20.36
8.76,-20.35,20.35
8.77,-20.33,20.33
8.77,-20.35,20.35
8.78,-20.33,20.33
8.79,-20.31,20.31
8.79,-20.33,20.33
8.8,-20.31,20.31
8.81,-20.29,20.29
8.82,-20.3,20.3
8.83,-20.27,20.27
8.83,-20.25,20.25
8.84,-20.26,20.26
8.85,-20.23,20.23
8.85,-20.19,20.19
8.86,-20.19,20.19
8.87,-20.14,20.14
8.88,-20.1,20.1
8.88,-20.08,20.08
8.89,-20.01,20.01
8.9,-19.94,19.94
8.9,-19.89,19.89
8.91,-19.79,19.79
8.92,-19.7,19.7
8.93,-19.63,19.63
8.93,-19.5,19.5
8.94,-19.37,19.37
8.95,-19.25,19.25
8.96,-19.07,19.07
8.96,-18.91,18.91
8.97,-18.74,18.74
8.98,-18.5,18.5
8.98,-18.28,18.28
8.99,-18.05,18.05
9,-17.76,17.76
9.01,-17.5,17.5
9.01,-17.2,17.2
9.02,-16.83,16.83
9.03,-16.48,16.48
9.03,-16.1,16.1
9.04,-15.64,15.64
9.05,-15.18,15.18
9.06,-14.64,14.64
9.07,-13.94,13.94
9.07,-12.9,12.9
9.08,-6.97,6.97
9.09,0.51,0.51
9.09,1.52,1.52
9.1,1.52,1.52
9.11,1.52,1.52
9.12,1.52,1.52
9.13,1.52,1.52
9.13,1.52,1.52
9.14,1.52,1.52
9.15,1.52,1.52
9.15,1.51,1.51
9.16,1.51,1.51
9.17,1.52,1.52
9.18,1.52,1.52
9.18,1.52,1.52
9.19,1.52,1.52
9.2,1.52,1.52
9.2,1.52,1.52
9.21,1.52,1.52
9.22,1.52,1.52
9.23,1.51,1.51
9.23,1.51,1.51
9.24,1.52,1.52
9.25,1.51,1.51
9.26,1.51,1.51
9.26,1.51,1.51
9.27,1.51,1.51
9.28,1.51,1.51
9.28,1.51,1.51
9.29,1.51,1.51
9.3,1.51,1.51
9.31,1.51,1.51
9.31,1.51,1.51
9.32,1.51,1.51
9.33,1.51,1.51
9.33,1.51,1.51
9.34,1.51,1.51
9.35,1.51,1.51
9.36,1.51,1.51
9.37,1.51,1.51
9.37,1.51,1.51
9.38,1.51,1.51
9.39,1.51,1.51
9.39,1.51,1.51
9.4,1.51,1.51
9.41,1.51,1.51
9.42,1.51,1.51
9.42,1.51,1.51
9.43,1.51,1.51
9.44,1.51,1.51
9.45,1.51,1.51
9.45,1.51,1.51
9.46,1.51,1.51
9.47,1.51,1.51
9.48,1.51,1.51
